planta,morfo,polen.tot,prop.fruct
1,L,1947,0.4
2,L,1693,1
3,L,813,0.4
4,B,1469,0
5,L,1097,NA
6,B,612,1
7,B,706,0.8571428571
8,B,1118,0.8571428571
9,L,967,NA
10,B,1180,0.7142857143
11,L,421,0.2857142857
12,B,809,1
13,L,1203,0.6666666667
14,B,616,0.2857142857
15,B,1199,0.7142857143
16,L,1590,0.5714285714
17,B,4231,1
18,B,1091,0.4
19,B,926,1
20,B,1720,NA
21,L,1583,0.4285714286
22,B,2201,0.8571428571
23,B,1338,1
24,B,1999,0.5
25,L,1214,1
26,L,1038,0.5714285714
27,L,633,NA
28,L,1173,1
29,B,661,0.5714285714
30,B,1286,0.8571428571
31,B,930,0.6666666667
32,B,787,1
33,B,822,0.5714285714
34,B,666,1
35,L,579,0.8571428571
36,B,1266,0.75
37,L,633,0.8571428571
38,B,1009,0.8
39,B,1242,0.8333333333
40,L,1783,1
41,L,1298,1
42,B,934,0.4285714286
43,B,542,1
44,B,1402,1
45,B,1199,0.5714285714
46,L,452,0.8571428571
47,B,541,0.8571428571
48,L,948,1
49,L,194,0.6666666667
50,B,520,0.5714285714
51,B,515,0.7142857143
52,L,1162,NA
53,L,285,0.4285714286
54,L,606,0.5714285714
55,L,893,1
56,L,1268,0.8571428571
57,L,1454,0.4285714286
58,B,431,1
59,B,413,1
60,B,615,1
61,L,378,0.7142857143
62,L,717,0.7142857143
63,L,1008,0.8571428571
64,B,340,0.8
65,L,102,0.7142857143
66,L,1479,1
67,L,860,0.75
68,B,758,NA
69,L,704,1
70,L,474,1
71,L,155,0.7142857143
72,B,1235,1
73,L,497,0.8333333333
74,L,762,0.8571428571
75,L,743,0.7142857143
76,B,501,0.5714285714
77,B,291,0.4285714286
78,B,298,0.5
79,L,737,0.8
80,L,546,0.5714285714
81,L,161,1
82,L,1040,0.8
83,B,704,1
84,B,1055,0.6
85,L,179,1
86,B,332,0.8
87,B,240,0.4285714286
88,L,984,0.6666666667
89,L,828,1
90,B,467,0.5
91,L,582,0.8
92,B,300,0.7142857143
93,B,270,0.7142857143
94,B,788,0
95,L,183,0.5
96,L,618,1
97,B,305,0.7142857143
98,L,462,1
99,B,909,1
100,L,326,1
101,L,497,0.4
102,B,441,0.4
103,L,378,1
104,L,1143,1
105,B,902,1
106,B,854,1
107,L,425,0.8
108,L,830,1
109,B,887,0.25
110,L,957,1
111,L,960,0.8333333333
112,L,741,1
113,B,453,1
114,B,614,0.6666666667
115,B,812,0.6666666667
116,B,789,0.5
